name,departamento,departamento_deparamento_id,muncipio_id
CUCHILLA REDONDA,GUALEGUAYCHU,223,2173
CUCHILLO CO,LIHUEL CALEL,272,2174
CUESTA BLANCA,PUNILLA,186,2175
CULULU,LAS COLONIAS,394,2176
CURTIEMBRE,PARANA,229,2177
CURUPAITY,SAN CRISTOBAL,393,2178
CURUZU CUATIA,CURUZU CUATIA,205,2179
CUSHAMEN,CUSHAMEN,150,2180
CUSI CUSI,SANTA CATALINA,250,2181
CUTRAL CO,CONFLUENCIA,316,2182
DAIREAUX,DAIREAUX,91,2183
DALMACIO VELEZ,TERCERO ARRIBA,190,2184
